Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	 Order          	 Class    
VMU_Ajub_asm_v1.0	GCF_027475565.1	GCA_027475565.2	Acinonyx jubatus	32536	 Carnivora      	 Mammalia 
mAcoRus1.1	GCF_903995435.1	GCA_903995435.1	Acomys russatus	60746	 Rodentia       	 Mammalia 
ASM200744v3	GCF_002007445.2	GCA_002007445.3	Ailuropoda melanoleuca	9646	 Carnivora      	 Mammalia 
M_Fortis_MF-2015_v1.1	GCF_014885135.2	GCA_014885135.2	Alexandromys fortis	100897	 Rodentia       	 Mammalia 
AdamAnt_v2	GCF_016432865.1	GCA_016432865.2	Antechinus flavipes	38775	 Dasyuromorphia 	 Mammalia 
86718_ANA_hifiasm-v0.15.2.pri	GCF_030222135.1	GCA_030222135.1	Aotus nancymaae	37293	 Primates       	 Mammalia 
Apodemus_speciosus_assembly02	GCA_045298715.1		Apodemus speciosus	105296	 Rodentia       	 Mammalia 
mApoSyl1.1	GCF_947179515.1	GCA_947179515.1	Apodemus sylvaticus	10129	 Rodentia       	 Mammalia 
CSHL_Jam_final	GCF_021234435.1	GCA_021234435.1	Artibeus jamaicensis	9417	 Chiroptera     	 Mammalia 
mArvNil1.pat.X	GCF_011762505.2	GCA_011762505.3	Arvicanthis niloticus	61156	 Rodentia       	 Mammalia 
mArvAmp1.2	GCF_903992535.2	GCA_903992535.2	Arvicola amphibius	1047088	 Rodentia       	 Mammalia 
mBalAcu1.1	GCF_949987535.1	GCA_949987535.1	Balaenoptera acutorostrata	9767	 Cetacea        	 Mammalia 
mBalMus1.pri.v3	GCF_009873245.2	GCA_009873245.3	Balaenoptera musculus	9771	 Cetacea        	 Mammalia 
mBalRic1.hap2	GCF_028023285.1	GCA_028023285.1	Balaenoptera ricei	2746895	 Cetacea        	 Mammalia 
Bison_UMD1.0	GCF_000754665.1	GCA_000754665.1	Bison bison bison	43346	 Artiodactyla   	 Mammalia 
